contig_id,name,start,stop,evalue,bitscore,truncated,accession
Cluster-70816.107288_Frame-2,SH3,1620,1665,1.78122e-18,80.1802,-,cl17036
Cluster-70816.107288_Frame-2,RUN,1123,1224,6.57355e-15,72.6807,C,cl02689
Cluster-70816.107288_Frame-2,PTZ00449,1425,1576,3.85092e-05,48.5326,NC,PTZ00449
Cluster-70816.107287_Frame-3,RUN,1094,1195,6.33569e-15,72.6807,C,cl02689
Cluster-70816.107287_Frame-3,PTZ00449,1396,1547,5.41605e-05,47.7622,NC,PTZ00449
Cluster-70816.107285_Frame+2,WD40,71,336,4.04447e-23,100.872,-,cl29593
Cluster-70816.107285_Frame+2,ACE1-Sec16-like,705,830,2.36589e-09,59.964,NC,cl14807
Cluster-70816.107285_Frame+2,DUF3824,1065,1123,0.00241939,39.291,N,pfam12868
Cluster-70816.107282_Frame-2,PRK05269,11,282,0,523.569,-,PRK05269
Cluster-70816.107280_Frame+1,WD40,9,302,4.8838e-52,182.92,-,cd00200
Cluster-70816.107280_Frame+1,PUL,538,785,4.7208e-45,162.494,-,pfam08324
Cluster-70816.107280_Frame+1,PFU,350,461,2.67396e-44,154.59,-,pfam09070
Cluster-70816.128332_Frame+3,COG5048,294,590,0.00428618,40.0642,C,COG5048
Cluster-70816.109763_Frame+3,DEADc_DDX10,93,290,5.71672e-114,341.577,-,cd17941
Cluster-70816.109763_Frame+3,SrmB,52,551,7.69754e-106,332.14,-,COG0513
Cluster-70816.90683_!WTR_Frame-2,Cyc7,1,103,9.37684e-52,158.707,-,COG3474
Cluster-70816.126701_Frame-2,zf-H2C2_2,507,530,0.00117868,36.5621,-,pfam13465
Cluster-70816.126701_Frame-2,zf-H2C2_2,328,351,0.00677434,34.2509,-,pfam13465
Cluster-70816.126700_Frame-3,zf-H2C2_2,270,293,0.00596745,33.8657,-,pfam13465
Cluster-12485.0_!WTR_Frame+1,Ig_3,2,61,2.14733e-11,53.3047,-,pfam13927
Cluster-70816.138829_Frame+3,MPN_UPF0172,20,125,3.85907e-50,157.071,C,cd08060
Cluster-70816.80332_Frame+1,DAP3,101,397,1.25485e-72,229.476,-,pfam10236
Cluster-70816.80336_Frame+2,Hemocyanin_C,33,137,1.04976e-21,86.4388,C,pfam03723
Cluster-70816.80336_Frame+2,Hemocyanin_M,1,24,0.00208487,36.3257,N,pfam00372
Cluster-70816.80338_Frame+1,DIOX_N,12,100,1.83988e-23,86.1719,C,pfam14226
Cluster-6703.0_!WTR_Frame-2,GGL,7,63,8.85869e-25,86.5742,-,cd00068
Cluster-4967.0_Frame-2,SFT1,13,91,8.94157e-06,43.0302,C,COG5161
Cluster-70816.132301_Frame-1,SET,1564,1685,2.82269e-39,142.473,-,smart00317
Cluster-70816.132301_Frame-1,Pre-SET,1451,1556,4.14707e-25,100.955,-,pfam05033
Cluster-70816.132301_Frame-1,Ank_2,1314,1406,3.59697e-18,80.921,-,pfam12796
Cluster-70816.132301_Frame-1,Ank_2,1244,1340,1.80978e-17,78.995,-,pfam12796
Cluster-70816.132301_Frame-1,Ank_2,1178,1269,1.21661e-06,48.179,-,pfam12796
Cluster-70816.132301_Frame-1,MDN1,435,825,0.000679873,44.6047,N,COG5271
Cluster-70816.81104_Frame-2,Homeobox,119,172,4.2797e-29,105.266,-,pfam00046
Cluster-70816.81107_!WTR_Frame-3,OST3_OST6,18,105,0.00481382,35.6587,N,pfam04756
Cluster-13698.1_Frame+2,aconitase_mito,1,383,0,631.14,N,TIGR01340
Cluster-13698.0_Frame+1,Aconitase,62,334,0,563.217,C,cl00285
Cluster-9160.0_Frame+3,DUF1075,27,153,1.35546e-78,228.884,-,pfam06388
Cluster-12682.0_Frame+3,GlpR,1,85,3.42744e-22,85.7483,C,COG1349
Cluster-70816.45018_Frame+3,PLN00113,178,433,1.16724e-13,74.8844,NC,PLN00113
Cluster-70816.45018_Frame+3,PCC,402,485,9.70642e-09,59.3255,C,TIGR00864
Cluster-70816.109579_Frame-1,MFS_GLUT6_8_Class3_like,45,122,8.68213e-14,66.0595,C,cd17358
Cluster-70816.3346_!WTR_Frame+2,malQ,8,26,0.000687672,34.4706,NC,PRK11052
Cluster-70816.129424_Frame+1,Enkurin,632,723,4.41561e-26,102.578,-,pfam13864
Cluster-1475.1_Frame-1,HSP90,1,84,7.06716e-48,158.09,N,pfam00183
Cluster-70816.5593_Frame+1,Motor_domain,25,161,3.75787e-78,235.048,C,cl22853
Cluster-70816.112907_!WTR_Frame-2,AAT_I,1,122,2.25775e-25,97.6591,N,cl29034
Cluster-70816.76418_!WTR_Frame-1,PRK11728,58,125,8.16029e-32,115.304,C,PRK11728
Cluster-70816.119934_Frame+1,Ribosomal_L10_P0,1,123,1.57764e-21,84.4782,-,cl00376
Cluster-70816.125423_Frame+2,TBC,106,320,8.21424e-62,199.07,-,smart00164
Cluster-70816.125422_Frame+2,CLTH,74,202,4.16035e-33,116.886,-,pfam10607
Cluster-70816.125422_Frame+2,LisH,39,64,6.63079e-05,38.8258,-,pfam08513
Cluster-70816.21774_!WTR_Frame-3,MFS_SLC45_SUC,1,74,2.50109e-15,71.1188,C,cd17313
Cluster-33298.0_Frame-2,Ribosomal_L18A,83,130,1.34421e-19,76.8447,-,pfam01775
Cluster-70816.37398_!WTR_Frame+2,WBS_methylT,9,51,9.59246e-08,43.3886,N,pfam12589
Cluster-70816.27512_Frame+3,Sulfotransfer_2,61,332,1.17285e-57,193.981,-,cl22970
